Category,LinkedStatus
overweight,1
underweight,0
healthy,1
obsese,0
overweight,1
underweight,1
healthy,1
obsese,0
overweight,0
underweight,1
healthy,0
obsese,0
overweight,1
underweight,0
healthy,1
obsese,1
overweight,1
underweight,1
healthy,0
obsese,0
overweight,0
underweight,0
healthy,0
obsese,1
overweight,0
underweight,0
healthy,0
obsese,1
overweight,0
underweight,1
healthy,1
obsese,0
overweight,1
underweight,0
healthy,1
obsese,0
overweight,1
underweight,0
healthy,0
obsese,0
overweight,0
underweight,1
healthy,1
obsese,0
overweight,1
underweight,0
healthy,0
obsese,0
overweight,1
underweight,0
healthy,1
obsese,1
overweight,1
underweight,0
healthy,1
obsese,0
overweight,1
underweight,0
healthy,1
obsese,0
overweight,0
underweight,0
healthy,0
obsese,1
overweight,1
underweight,0
healthy,0
obsese,0
overweight,1
underweight,1
healthy,1
obsese,1
overweight,1
underweight,0
healthy,0
obsese,1
overweight,0
underweight,1
healthy,0
obsese,1
overweight,0
underweight,0
healthy,0
obsese,0
overweight,1
underweight,1
healthy,1
obsese,0
overweight,1
underweight,0
healthy,1
obsese,0
overweight,1
underweight,0
healthy,1
obsese,1
overweight,0
underweight,0
healthy,1
obsese,0
overweight,0
underweight,1
healthy,1
obsese,1
overweight,1
underweight,1
healthy,0
obsese,1
overweight,0
underweight,1
healthy,0
obsese,0
overweight,0
underweight,0
healthy,1
obsese,0
overweight,1
underweight,0
healthy,1
obsese,0
overweight,0
underweight,0
healthy,1
obsese,1
overweight,0
underweight,1
healthy,1
obsese,1
